Feature,F_score,F_pval,MI_score,Significant (p<0.05)
severity_composite,216.613,0.0,0.6025,True
phq-9,248.664,0.0,0.5801,True
gad-7,114.151,0.0,0.474,True
psqi,65.884,0.0,0.3653,True
log_Fz_Alpha,2.313,0.1342,0.168,False
les,15.838,0.0002,0.1511,True
log_Fp2_Alpha,2.455,0.1231,0.1507,False
log_Fz_Theta,2.504,0.1195,0.1359,False
log_Fp2_Theta,2.552,0.1161,0.1359,False
ssrs,21.089,0.0,0.1345,True
log_Fp1_Theta,0.369,0.546,0.1305,False
ctq-sf,11.933,0.0011,0.1162,True
log_Fz_Beta,2.391,0.128,0.1044,False
education_years,10.519,0.002,0.0826,True
log_Fp1_Alpha,0.291,0.5918,0.0702,False
mean_alpha_power,0.103,0.7499,0.0578,False
Fz_AlphaBeta_ratio,1.627,0.2077,0.0558,False
age,0.001,0.9797,0.0555,False
log_Fp1_Beta,0.303,0.5846,0.0508,False
Fp2_skewness,0.876,0.3535,0.0504,False
log_Fz_Delta,2.317,0.1339,0.0484,False
log_Fp2_Beta,2.525,0.118,0.0421,False
Fp2_AlphaBeta_ratio,1.888,0.1752,0.0301,False
Fz_std,1.483,0.2288,0.0021,False
log_Fp2_Delta,2.436,0.1245,0.0,False
log_Fp1_Delta,0.346,0.5591,0.0,False
Fp1_kurtosis,0.639,0.4276,0.0,False
Fp1_skewness,0.0,0.9887,0.0,False
Fp2_std,1.491,0.2275,0.0,False
Fp2_kurtosis,0.768,0.3847,0.0,False
Fp1_std,0.777,0.3819,0.0,False
Fz_kurtosis,0.821,0.3691,0.0,False
Fz_skewness,2.278,0.1371,0.0,False
duration_min,0.0,0.9876,0.0,False
Fp2_ThetaAlpha_ratio,1.109,0.297,0.0,False
Fp1_ThetaAlpha_ratio,1.353,0.25,0.0,False
Fp1_AlphaBeta_ratio,1.258,0.2671,0.0,False
Fz_ThetaAlpha_ratio,1.236,0.2713,0.0,False
