feature,F_statistic,p_value
mfcc_10_min_segmean,24.43413226416527,9.04487228340121e-06
mfcc_delta_11_std_segmean,22.918743729911114,1.542433906644341e-05
mfcc_delta_01_std_segmean,18.12323200629932,9.099697188516787e-05
mfcc_delta_13_std_segmean,17.112889885363636,0.00013470194138818738
mfcc_10_std_segmean,15.790824936920655,0.00022745801834141225
mfcc_13_std_segmean,15.354616777489914,0.0002711278276270202
mfcc_delta_10_std_segmean,15.01701933280112,0.0003109052932710518
mfcc_10_mean_segmean,14.919420878466838,0.00032350875059825886
mfcc_delta_08_std_segmean,13.246555080988726,0.0006467828702636656
mfcc_10_median_segmean,12.436269645560403,0.0009122401688130124
mfcc_11_std_segmean,11.523615247946218,0.0013531934044249039
mfcc_delta_04_std_segmean,11.114769537444184,0.0016187083700039985
onset_strength_std_segmean,10.889337620713523,0.0017880159418759355
mfcc_delta_15_std_segmean,10.485203558996469,0.002139782619840797
mfcc_04_std_segmean,10.291108857314082,0.0023339190003080147
mfcc_08_std_segmean,10.178488505794377,0.002454977321297987
mfcc_delta_05_std_segmean,10.120008354042252,0.0025204273378643203
mfcc_02_max_segmean,9.958064173308276,0.0027114329329454906
mfcc_05_std_segmean,9.713533535257664,0.0030292329367529666
mfcc_13_min_segmean,9.68758702743844,0.003065183683792705
mfcc_08_mean_segmean,9.558877676987509,0.003250281168558658
mfcc_15_std_segmean,9.229977275220602,0.0037788100608191766
mfcc_19_min_segmean,9.22119722998417,0.0037941027850933924
mfcc_08_median_segmean,9.044000381669598,0.004117091056346998
spectral_centroid_mean_segstd,9.003760524967248,0.0041944006032528635
mfcc_delta_07_std_segmean,8.94576697041229,0.004308522515072853
mfcc_01_median_segstd,8.859199989222494,0.004485003478380559
mfcc_08_min_segmean,8.43487085648818,0.00546744095397597
spectral_contrast_6_mean_segmean,8.301872315219656,0.005820262953448267
zcr_mean_segstd,8.232813657551533,0.006012877341214265
mfcc_01_median_segmean,8.18413692336729,0.0061526836116105295
mfcc_07_std_segmean,8.151310049122735,0.006248903603423816
mfcc_19_mean_segmean,8.118479438233598,0.006346726678001609
mel_008_mean_segmean,8.069227783663534,0.006496525683239062
mfcc_01_max_segmean,7.843673398546741,0.007231914548162197
mfcc_01_mean_segmean,7.7117236075001685,0.007702519491287018
onset_strength_mean_segmean,7.552689857874259,0.008313179906340928
mfcc_01_std_segmean,7.499053083696062,0.008530530443906063
mfcc_21_median_segstd,7.454372394922088,0.008716184472378577
mfcc_12_std_segmean,7.350488778863562,0.009164584863449616
mfcc_delta_17_std_segmean,7.249770698978538,0.009622726344152854
mel_030_mean_segmean,7.158769244635843,0.010057581037065368
mfcc_delta_01_std_segstd,7.118690051111048,0.010255670243257584
mfcc_15_std_segstd,7.0921784207011465,0.010388974470115097
mfcc_delta_19_std_segmean,6.728551043035131,0.0124152190321655
mfcc_19_std_segmean,6.535164374440332,0.013660399341507787
mfcc_19_median_segmean,6.47760794283229,0.014056156341177566
mfcc_09_max_segstd,6.355692299737087,0.014935328691111813
mel_031_mean_segmean,6.246608170312734,0.01577170288715741
mfcc_21_std_segmean,6.179711508940528,0.01630920214991238
mel_105_mean_segmean,6.097823051601623,0.016993886072297026
mel_110_mean_segmean,6.046786861364117,0.017436072593145474
mfcc_delta_12_std_segmean,6.011041161811561,0.017753083410959502
spectral_contrast_5_mean_segmean,5.996598466255574,0.01788290872823649
mel_008_mean_segstd,5.871442831215039,0.019051330889057867
spectral_contrast_6_std_segmean,5.8397550377008285,0.01935992295281349
onset_strength_max_segmean,5.765462223202343,0.020104570896237926
mfcc_32_max_segstd,5.756391222769783,0.020197567860343768
mfcc_30_max_segstd,5.6724729373554945,0.021080054696577664
mfcc_08_median_segstd,5.605556859558264,0.021813306889102498
mfcc_12_median_segstd,5.6025125009708,0.02184730920598135
mfcc_05_min_segmean,5.542055789266356,0.02253443767882886
mel_109_mean_segstd,5.449738621129041,0.023628734701721495
chroma_01_mean_segmean,5.407437360935077,0.024149068590720923
mfcc_21_min_segmean,5.367003852297486,0.024657928941816572
mel_106_mean_segmean,5.355547365704312,0.024804192713757632
mfcc_21_mean_segstd,5.287916661946735,0.02568681886789946
mfcc_33_max_segstd,5.286397941815606,0.025707022146660978
chroma_02_mean_segmean,5.197395778711007,0.026921332205664523
mfcc_05_max_segmean,5.184863851729374,0.027097203502266503
mel_001_mean_segmean,5.183887664990945,0.02711095490812657
chroma_02_median_segmean,5.165812971917239,0.027366930299871615
mel_109_mean_segmean,5.136465920545951,0.02778809550563218
mel_113_mean_segmean,5.105963799841503,0.0282332330469385
chroma_01_median_segmean,5.103969894699838,0.028262597228098686
mel_114_mean_segmean,5.081091261377756,0.028601891050363197
mfcc_15_min_segmean,5.067047727926392,0.028812327259914762
chroma_08_max_segstd,4.9763960726072805,0.0302114411613806
mel_115_mean_segmean,4.960530846002143,0.030463739232790814
chroma_04_std_segmean,4.946818338188193,0.030683632216083254
zcr_std_segstd,4.91059284964283,0.03127280970419633
mfcc_31_max_segstd,4.770792735266224,0.03366352350762964
mfcc_delta_21_std_segmean,4.767960875731805,0.03371394328312124
mel_112_mean_segmean,4.751713801389851,0.03400479380837299
mfcc_18_median_segmean,4.712402136083929,0.034719808416606344
mel_128_mean_segstd,4.680901471837681,0.03530447315084689
mfcc_34_median_segstd,4.680692710555659,0.035308383140067325
mel_111_mean_segmean,4.676076317077901,0.03539496544507294
spectral_contrast_5_std_segmean,4.668999209836377,0.03552814516413156
chroma_09_mean_segstd,4.639654246633406,0.03608617654081662
mel_104_mean_segmean,4.619299118089183,0.03647881689883024
mfcc_02_std_segmean,4.502072808131242,0.03883191102168118
mfcc_delta_31_mean_segmean,4.451096754746395,0.039905980234569816
spectral_contrast_4_std_segmean,4.449818528368239,0.03993332285768725
chroma_08_max_segmean,4.428503060298272,0.040392288404448536
mel_110_mean_segstd,4.426514018644352,0.0404354072829974
mfcc_delta_20_mean_segmean,4.397166881639804,0.041077434436508346
mel_116_mean_segstd,4.343849314922237,0.04227233294683018
mfcc_delta_14_std_segmean,4.331775922224849,0.04254811366901983
mfcc_29_max_segstd,4.31942674951182,0.04283221527059012
chroma_03_mean_segmean,4.303443444318965,0.043202984480355755
spectral_rolloff_mean_segstd,4.257153204405541,0.044296598923182134
chroma_03_median_segmean,4.234494566648932,0.0448428462312136
mfcc_11_min_segmean,4.221806722251403,0.045151915154393055
mel_002_mean_segmean,4.215656580753916,0.04530256189700973
