filepath,filename,modality_code,vocal_channel,emotion_code,emotion,intensity_code,intensity,statement,repetition,actor_id,gender
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,03,speech,01,neutral,01,normal,kids_door,1,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,03,speech,01,neutral,01,normal,kids_door,2,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,03,speech,01,neutral,01,normal,dogs_door,1,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,03,speech,01,neutral,01,normal,dogs_door,2,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,03,speech,02,calm,01,normal,kids_door,1,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav,03,speech,02,calm,01,normal,kids_door,2,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav,03,speech,02,calm,01,normal,dogs_door,1,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav,03,speech,02,calm,01,normal,dogs_door,2,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,03,speech,02,calm,02,strong,kids_door,1,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav,03,speech,02,calm,02,strong,kids_door,2,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01.wav,03,speech,02,calm,02,strong,dogs_door,1,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01.wav,03,speech,02,calm,02,strong,dogs_door,2,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-03-01-01-01-01.wav,03-01-03-01-01-01-01.wav,03,speech,03,happy,01,normal,kids_door,1,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01.wav,03,speech,03,happy,01,normal,kids_door,2,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-03-01-02-01-01.wav,03-01-03-01-02-01-01.wav,03,speech,03,happy,01,normal,dogs_door,1,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-03-01-02-02-01.wav,03-01-03-01-02-02-01.wav,03,speech,03,happy,01,normal,dogs_door,2,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-03-02-01-01-01.wav,03-01-03-02-01-01-01.wav,03,speech,03,happy,02,strong,kids_door,1,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-03-02-01-02-01.wav,03-01-03-02-01-02-01.wav,03,speech,03,happy,02,strong,kids_door,2,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-03-02-02-01-01.wav,03-01-03-02-02-01-01.wav,03,speech,03,happy,02,strong,dogs_door,1,1,male
/home/pankajmsah/DSAI LAB/Group-6-DS-and-AI-Lab-Project/RAVDESS Emotional speech audio/Actor_01/03-01-03-02-02-02-01.wav,03-01-03-02-02-02-01.wav,03,speech,03,happy,02,strong,dogs_door,2,1,male
